field_id,lon,lat,area_ha
settat_453,-7.278611,32.451724,1.305
settat_1824,-7.414310,32.646051,0.630
settat_2552,-7.419162,32.618798,0.882
settat_4792,-7.309847,32.560281,0.666
settat_5332,-7.281804,32.558648,1.112
settat_7087,-7.110475,32.599526,0.740
settat_8600,-7.110924,32.588105,1.063
settat_11004,-7.042899,32.551358,0.569
settat_14283,-7.221452,32.777775,0.751
settat_15265,-7.175278,32.781284,0.371
settat_17897,-7.084416,32.838326,0.623
settat_18971,-7.035406,32.846018,1.008
settat_21528,-7.442535,32.409170,1.945
settat_22708,-7.380737,32.405459,1.636
settat_22970,-7.358168,32.411666,0.858
settat_23170,-7.345990,32.415716,0.408
settat_28743,-7.129558,32.418628,1.525
settat_31248,-7.457180,32.441139,1.015
settat_32846,-7.401803,32.433261,1.931
settat_33699,-7.365873,32.432715,0.627
settat_35840,-7.284713,32.490490,0.799
settat_36208,-7.282134,32.439311,0.673
settat_39073,-7.176921,32.433607,0.950
settat_40383,-7.410365,32.578299,0.724
settat_40988,-7.405517,32.598265,1.081
settat_41171,-7.405182,32.621003,0.832
settat_41645,-7.426803,32.678398,1.671
settat_42009,-7.406483,32.677714,0.402
settat_42122,-7.401133,32.668236,0.790
settat_42284,-7.393600,32.678588,1.809
settat_43368,-7.338190,32.650834,0.572
settat_43582,-7.338600,32.653068,0.608
settat_45310,-7.191198,32.732084,0.775
settat_45639,-7.199513,32.714917,1.091
settat_47079,-7.180938,32.731850,1.325
settat_47864,-7.255752,32.749703,0.997
settat_48221,-7.252497,32.716289,1.301
settat_48572,-7.252532,32.727161,0.373
settat_48749,-7.215917,32.732314,0.840
settat_49027,-7.215809,32.742979,1.024
settat_49343,-7.243932,32.666996,0.972
settat_50490,-7.102818,32.734594,0.613
settat_50589,-7.060450,32.876987,0.509
settat_50921,-6.968634,32.865925,1.194
settat_51729,-7.090179,32.526146,1.104
settat_52255,-7.115714,32.485043,0.820
settat_53863,-7.078341,32.450755,0.403
settat_56215,-7.169595,32.430624,0.385
settat_56242,-7.163489,32.435987,1.883
settat_56955,-7.058220,32.483533,0.445
settat_57162,-7.054632,32.475537,0.414
settat_58414,-7.143199,32.730152,1.119
settat_60892,-7.116530,32.677549,0.634
settat_61781,-7.059271,32.744915,0.964
settat_64654,-7.412034,32.591707,0.620
settat_65872,-7.497805,32.658562,0.855
settat_66215,-7.498036,32.805194,0.706
settat_66496,-7.411561,32.774390,0.899
settat_66880,-7.461919,32.824268,0.419
settat_68354,-7.434031,32.827839,0.555
settat_68485,-7.429431,32.836846,0.650
settat_69094,-7.452868,32.772286,1.294
settat_69430,-7.455015,32.785049,0.586
settat_70423,-7.478194,32.808515,0.620
settat_71038,-7.391367,32.835559,0.766
settat_71787,-7.413579,32.847817,0.795
settat_71976,-7.417448,32.853935,0.716
settat_74473,-7.497921,32.819558,0.752
settat_76304,-7.602804,32.700569,0.705
settat_76542,-7.495329,32.751053,0.861
settat_77621,-7.299630,32.860956,0.654
settat_77756,-7.292518,32.787393,1.519
settat_77956,-7.298790,32.817358,0.391
settat_79677,-7.362724,32.784788,0.859
settat_83109,-7.311423,32.814265,1.493
settat_83834,-7.378423,32.757984,0.695
settat_86172,-7.236940,32.845553,0.550
settat_86770,-7.224153,32.786886,0.638
settat_88454,-7.188717,32.853196,0.509
settat_90023,-7.203925,32.798969,0.578
settat_90910,-7.241125,32.829321,0.526
settat_90993,-7.253367,32.828955,1.507
settat_94852,-7.504609,32.786195,0.801
settat_95610,-7.500358,32.813653,0.599
settat_95663,-7.518777,32.815316,0.412
settat_96020,-7.503900,32.833275,0.538
settat_97740,-7.526049,32.781176,0.409
settat_103905,-7.555899,32.824969,0.560
settat_103908,-7.560158,32.824428,0.702
settat_105153,-7.531837,32.808598,1.120
